WATER QUALITY DATA 2012 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BEAS - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml),,,,,,,,,,,,,,,,
Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,,,
WATER QUALITY CRITERIA,,,> 4 mg/l,6.5-8.5,,< 3 mg/l,,< 2500 MPN/100ml,< 5000 MPN/100ml,,,,,,,,,,,,,,,,,
1001,BEAS AT U/S MANALI,HIMACHAL PRADESH,2,12,6,7,9.8,8.7,6.6,9,7.8,50,116,89,0.1,0.8,0.2,0.21,1.21,0.48,13,70,26,34,280,103
1002,BEAS AT D/S KULU,HIMACHAL PRADESH,3,14,9,8.1,9.7,8.6,7.1,8.2,7.8,64,156,105,0.1,8.7,0.9,0.13,1.71,0.61,26,180,88,220,920,417
1003,BEAS AT D/S AUT,HIMACHAL PRADESH,3,15,9,8,10,8.9,6.9,8.2,7.6,47,148,93,0.1,0.4,0.2,0.09,1.72,0.52,22,79,52,130,350,204
1004,BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,6,16,13,7.9,10.2,8.8,7.4,8.3,7.9,58,177,107,0.1,0.3,0.2,0.12,0.95,0.55,26,49,39,110,280,190
1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,6,20,12,7.7,12.4,10.2,7.5,8.3,7.9,65,156,101,0.1,0.2,0.1,0.25,1.25,0.73,22,49,31,70,220,138
1550,BEAS AT U/S MANDI,HIMACHAL PRADESH,9,20,15,7.4,10.7,9,7.4,8.4,8.1,73,182,132,0.1,0.3,0.2,0.25,1.69,0.81,26,70,43,110,350,217
1006,BEAS AT D/S MANDI,HIMACHAL PRADESH,9,22,16,7.1,10.4,8.8,6.5,8.5,7.8,107,276,181,0.1,0.8,0.4,0.3,3.35,1.45,46,240,135,220,1600,597
2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,9,30,18,6.6,9.4,8.3,7.6,7.8,7.7,144,369,282,0.2,3,1,0.05,0.83,0.5,,,,,,
