WATER QUALITY DATA 2014 | CPCB ENVIS ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER BEAS - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml),,,,,,,,,,,,,,,,
Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,,,
WATER QUALITY CRITERIA,,,> 4 mg/l,6.5-8.5,,< 3 mg/l,,< 2500 MPN/100ml,< 5000 MPN/100ml,,,,,,,,,,,,,,,,,
1001,"BEAS AT U/S MANALI, H.P.",HIMACHAL PRADESH,1,16,8.2,7.5,11,9.1,7.2,8.4,7.9,55,335,133,0.1,0.4,0.1,0.065,0.492,0.2,8,49,27,23,240,116
1002,"BEAS AT D/S KULU, H.P.",HIMACHAL PRADESH,3,19,10,7.5,11.2,9.1,7.5,8.3,8,59,340,128,0.1,0.5,0.2,0,0.492,0.2,22,94,54,130,350,285
1003,"BEAS AT D/S AUT, H.P.",HIMACHAL PRADESH,4.5,15.5,9.9,8.1,11,9.3,7.5,8.2,7.9,57,238,117,0.1,0.2,0.1,0.067,0.492,0.2,17,63,33,79,180,123
1004,"BEAS AT U/S PANDON DAM, H.P.",HIMACHAL PRADESH,10,23,13.6,8.7,10.8,9.6,6.8,8.2,7.7,42,322,173,0.1,0.7,0.2,0.091,0.457,0.3,23,49,36,130,280,184
1005,"BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE, H.P.",HIMACHAL PRADESH,5.8,23,11.9,8.7,10,9.3,6.8,8.5,8,115,340,198,0.1,0.4,0.1,0,0.974,0.3,21,94,40,70,280,148
1550,"BEAS AT U/S MANDI, H.P",HIMACHAL PRADESH,7.5,19,13.6,8.7,11.4,9.7,7.5,8.4,8,63,309,143,0.1,0.5,0.1,0,0.7,0.3,23,94,40,130,920,243
1006,"BEAS AT D/S MANDI, H.P.",HIMACHAL PRADESH,10,23,14.9,6.9,12.2,9.5,7.4,9,8.1,89,340,190,0.1,0.6,0.3,0,0.83,0.3,27,180,67,170,1600,426
2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,13,21.5,17.9,6.8,10.5,7.8,6.8,8.8,8.1,41,488,270,0.4,1.8,0.8,0.3,1,0.5,,,,,,
